"linha_original_aproximada","Nome da Música","Artista","Gênero Musical","Letra da Música","genero_filtrado"
"48","felicidade","marcelo jeneci","mpb","haverá um dia em que você não haverá de ser feliz  sentirá o ar sem se mexer  sem desejar como antes sempre quis  você vai rir    sem perceber  felicidade é só questão de ser  quando chover    deixar molhar    pra receber o sol quando voltar  lembrará os dias que você deixou passar sem ver a luz  se chorar  chorar é vão  porque os dias vão pra nunca mais     refrão  melhor viver meu bem  pois há um lugar em que o sol brilha pra você  chorar  sorrir também e depois dançar na chuva quando a chuva vem  melhor viver meu bem  pois há um lugar em que o sol brilha pra você  chorar  sorrir também e dançar  dançar na chuva quando a chuva vem  tem vez que as coisas pesam mais do que a gente acha que pode aguentar  nessa hora fique firme pois tudo isso logo vai passar  você vai rir    sem perceber    felicidade é só questão de ser  quando chover    deixar molhar    pra receber o sol quando voltar   refrão  melhor viver meu bem  pois há um lugar em que o sol brilha pra você  chorar  sorrir também e depois dançar na chuva quando a chuva vem  melhor viver meu bem  pois há um lugar em que o sol brilha pra você  chorar  sorrir também e dançar  dançar na chuva quando a chuva vem  dançar na chuva quando a chuva vem  dançar na chuva quando há chuva  dançar na chuva quando a chuva vem ","mpb"
"67","envolvidão","rael","mpb","ela tem cores  curvas  sabores coisas que seduz e  eu levo flores  som de cantores e ela ama ouvir se der minha hora preciso ir embora mas ela me impede de um jeito louco   fica um pouco  sou incapaz de ir  não vou mentir fiquei envolvidão ma ma malandro era inevitável eu não me envolver ela é inacreditável  você tinha que ver se liga essas pretinha  toda emperiquitadinha meio modeletizinha na pegada  france  tem a simplicidade que é difícil se ver e a sagacidade que é difícil se ter é de falar baixinho  gosta de calor  carinho e quando vai tomar um vinho pra brindar diz  santé  a gente se combina  a gente tem tudo a ver se é coisa do destino eu já não sei te dizer havia conhecido através de um conhecido ela prima de um amigo que eu trombei num rolê  e  refrão  ela tem cores  curvas  sabores coisas que seduz e  eu levo flores  som de cantores e ela ama ouvir se der minha hora preciso ir embora mas ela me impede de um jeito louco   fica um pouco  sou incapaz de ir  não vou mentir fiquei envolvidão e ela tinha uma mania de caçar assunto dizia que amor ciúme era um conjunto pedia pra eu valorizar as crise de ciúme dela porque se o ciúme dela sumisse o amor também sumia junto e curtia nutella  revista  novela  sambista portela a pista  favela  mó sinistra ela frasista e bela  lia sérgio vaz  era fã de mandela vai pensando que ela é fácil rapaz ela não é daquelas minas  tanto fez  tanto faz  não cabe naquela rima de alguns anos atrás nem combina com as mulheres vulgares uma noite e nada mais  refrão  ela tem cores  curvas  sabores coisas que seduz e  eu levo flores  som de cantores e ela ama ouvir se der minha hora preciso ir embora mas ela me impede de um jeito louco   fica um pouco  sou incapaz de ir  não vou mentir fiquei envolvidão  não vou mentir fiquei envolvidão e ela quer  quer  quer  quer  quer  quer  x   eu fiquei envolvidão ","mpb"
"79","amei te ver","tiago iorc","mpb","ah quase ninguém vê quanto mais o tempo passa mais aumenta a graça em te viver ah e sai sem eu dizer tem mais no que te mostro não escondo o quanto gosto de você o coração dispara tropeça  quase para me encaixo no teu cheiro e ali me deixo inteiro eu amei te ver eu amei te ver eu amei te ver eu amei te ver eu amei te ver eu amei te ver ah  ah quase ninguém vê quanto mais aumenta a graça mais o tempo passa por você ah e sai sem eu dizer o tanto que eu gosto me desmancho quando encosto em você o coração dispara tropeça  quase para me encaixo no teu cheiro e ali me deixo inteiro eu amei te ver eu amei te ver eu amei te ver eu amei te ver eu amei te ver eu amei te ver o coração dispara tropeça  quase para me enlaço no teu beijo abraço teu desejo a mão ampara a calma encosta lá na alma e o corpo vai sem medo descasca teu segredo da boca sai  não para é o coração que fala o laço é certeiro metades por inteiro não vou voltar tão cedo mas vou voltar porque eu amei te ver eu amei te ver eu amei te ver","mpb"
"85","meu abrigo","melim","mpb","h  uh  uh  uh uh  uh desejo a você o que há de melhor a minha companhia pra não se sentir só o sol  a lua e o mar passagem pra viajar pra gente se perder e se encontrar vida boa  brisa e paz nossas brincadeiras ao entardecer rir à toa é bom demais o meu melhor lugar sempre é você você é a razão da minha felicidade não vá dizer que eu não sou sua cara metade meu amor  por favor  vem viver comigo no seu colo é o meu abrigo uh  uh  uh  uh uh  uh quero presentear com flores iemanjá pedir um paraíso pra gente se encostar uma viola a tocar melodias pra gente dançar a bênção das estrelas a nos iluminar vida boa  brisa e paz trocando olhares ao anoitecer rir à toa é bom demais olhar pro céu  sorrir e agradecer você é a razão da minha felicidade não vá dizer que eu não sou sua cara metade meu amor  por favor  vem viver comigo no seu colo é o meu abrigo meu abrigo no seu colo é o meu abrigo o meu abrigo uh  uh  uh  ah ah você é a razão da minha felicidade não vá dizer que eu não sou sua cara metade meu amor  por favor  vem viver comigo o seu colo é o meu abrigo meu abrigo o seu colo é o meu abrigo","mpb"
"233","conceição","cauby peixoto","mpb","conceição eu me lembro muito bem vivia no morro a sonhar com coisas que o morro não tem foi então que lá em cima apareceu alguém que lhe disse a sorrir que  descendo à cidade  ela iria subir se subiu ninguém sabe  ninguém viu pois hoje o seu nome mudou e estranhos caminhos pisou só eu sei que tentando a subida  desceu e agora daria um milhão para ser outra vez conceição","mpb"
"241","ninguém me ama","nora ney","mpb","ninguém me ama ninguém me quer ninguém me chama de  meu amor  a vida passa e eu sem ninguém e quem me abraça não me quer bem  vim pela noite tão longa  de fracasso em fracasso e  hoje  descrente de tudo me resta o cansaço  cansaço da vida  cansaço de mim  velhice chegando e eu chegando ao fim","mpb"
"244","antonico","alcides gerardi","mpb","ôh antonico vou lhe pedir um favor que só depende da sua boa vontade é necessário uma viração pro nestor que está vivendo em grande dificuldade ele está mesmo dançando na corda bamba ele é aquele que na escola de samba toca cuíca  toca surdo e tamborim faça por ele como se fosse por mim até muamba já fizeram pro rapaz porque no samba ninguém faz o que ele faz mas hei de vê lo muito bem  se deus quiser e agradeço pelo que você fizer ele está mesmo dançando na corda bamba ele é aquele que na escola de samba toca cuíca  toca surdo e tamborim faça por ele como se fosse por mim","mpb"
"246","maracangalha","dorival caymmi","mpb","eu vou pra maracangalha eu vou eu vou de uniforme branco eu vou eu vou de chapéu de palha eu vou eu vou convidar anália eu vou se anália não quiser ir eu vou só eu vou só eu vou só se anália não quiser ir eu vou só eu vou só eu vou só sem anália mas eu vou ","mpb"
"249","é tão sublime o amor","cauby peixoto","mpb","é tão sublime o amor o amor que tem da meiga flor o perfume  a cor uma estrada tão florida razões da própria vida o sonho mais feliz de um sonhador foi só depois que te encontrei que aprendi a ver no nosso amor a suprema lei e não pode haver ninguém no mundo  seja lá quem for  sorrindo sem ter um grande amor foi só depois que te encontrei que aprendi a ver no nosso amor a suprema lei e não pode haver ninguém no mundo  seja lá quem for  sorrindo sem ter um grande amor","mpb"
"250","quero beijar-te as mãos","anisio silva","mpb","quero beijar te as mãos minha querida senta junto de mim vem por favor és o maior enlevo da minha vida és o reflorir do meu amor sinto nesta ansiedade que minha alma invade que me faz sofrer a luz de um divinal querer eterna glória de viver se tu me quiseres tanto quanto eu que vivo para te adorar será um mundo de esplendor o nosso amor amor nosso amor","mpb"
"252","vingança","linda batista","mpb","eu gostei tanto tanto quando me contaram que lhe encontraram bebendo e chorando na mesa de um bar e que quando os amigos do peito por mim perguntaram um soluço cortou sua voz não lhe deixou falar mas eu gostei tanto tanto quando me contaram que tive mesmo que fazer esforço pra ninguém notar o remorso talvez seja a causa do seu desespero você deve estar bem consciente do que praticou me fazer passar tanta vergonha com um companheiro e a vergonha é a herança maior que meu pai me deixou mas enquanto houver força em meu peito eu não quero mais nada só vingança  vingança  vingança aos santos clamar você há de rolar como as pedras que rolam na estrada sem ter nunca um cantinho de seu pra poder descansar ","mpb"
"254","recusa","angela maria","mpb","essa dor que deixaste em minh alma com tanta indiferença não consigo afastá la sequer um momento de mim quanto mais me desprezas mais quero sentir tua presença não consigo esquercer te  meu deus  por que sofrer assim  sem motivo nenhum tu recusas um amor tão sincero sem motivo nenhum abandonas a felicidade minha vida é uma vida de mágoa de dor e descrença e eu sofro ao sentir na recusa tamanha indiferença ","mpb"
"255","quem foi","dolores duran","mpb","quem foi  quem foi que andou dizendo que eu vivo sempre sofrendo que eu vivo sempre chorando  não teve razão quem me fez essa maldade que eu vivo sofrendo é verdade  mas sofro sorrindo  cantando o pranto para mim não existe não choro quando estou triste sorrio sempre na dor não dou valor ao coração não ligo a uma ingratidão não choro por um amor o pranto para mim não existe não choro quando estou triste sorrio sempre na dor não dou valor ao coração não ligo a uma ingratidão não choro por um amor quem foi  quem foi  quem foi ","mpb"
"256","por causa de voce","silvia teles","mpb","por causa de você eu me tornei assim assim  triste e com vontade de chorar mas eu não posso te dizer eu não posso te dizer porque não quero mais sofrer por causa de você eu me tornei assim assim  triste e com vontade de chorar mas eu não posso te dizer eu não posso te dizer porque não quero mais sofrer","mpb"
"259","café soçaite","jorge veiga","mpb","doutor de anedota e de chapanhota estou acontecendo no café soçaite só digo enchanté  muito merci  all right troquei a luz do dia pela luz da light agora estou somente contra a dama de preto nos dez mais elegantes  eu estou também adoro  aniverside   só pesco em cabo frio decididamente eu sou gente bem enquanto a plebe rude na cidade dorme eu ando com jacinto  que é também de thormes terezas e dolores  falam bem de mim eu sou até citado na coluna do ibrahim e quando alguém pergunta  como é que pode   papai de black tie  jantando com didu eu peço outro whisky embora esteja pronto como é que pode  depois eu conto   ","mpb"
"261","chove lá fora","tito madi","mpb","a noite está tão fria chove lá fora e esta saudade enjoada não vai embora quisera que soubesses como estou triste quisera compreender porque partiste e a chuva continua mais forte ainda só deus sabe entender como é infinda a dor de não saber  saber lá fora onde estás  como estás  com quem estás agorta agora  hummmmmm    ","mpb"
"262","ouça","maysa","mpb","ouça  vá viver sua vida com outro bem  hoje eu já cansei de pra você não ser ninguém  o passado não foi o bastante pra lhe convencer que o futuro seria bem grande só eu e você  quando a lembrança com você for morar e bem baixinho de saudade você chorar  vai lembrar que um dia existiu um alguém que só carinho pediu e você fez questão de não dar  fez questão de negar ","mpb"
"263","outra vez","elizeth cardoso","mpb","outra vez  sem você outra vez  sem amor outra vez vou sofrer  vou chorar até você voltar  outra vez vou vagar por aí  prá esquecer  outra vez vou falar mal do mundo até você voltar  todo mundo me pergunta porque eu ando triste assim ninguém sabe o que é que eu sinto com você longe de mim vejo o sol quando ele sai vejo a chuva quando cai tudo agora é só tristeza  traz saudades de você   ","mpb"
"266","farinhada","ivon curi","mpb","refrão  tava na peneira  eu tava peneirando  tava no namoro  tava namorando   bis  na farinhada lá na serra do teixeira  namorei uma caboca  nunca vi tão feiticeira  a meninada descascava macaxeira  zé migué no caititu e eu e ela na peneira   refrão  o vento dava  sacodia a cabeleira e levantava a saia dela no balanço da peneira  fechei os óio e o vento foi soprando  quando deu um redemoinho  sem querer  tava espiando   refrão  de madrugada  nós fiquemo ali sozinho  o pai dela soube disso e deu de perna no caminho  chegando lá  até riu da brincadeira  nós estava namorando eu e ela na peneira   refrão  a mais bonita na peneira era rainha eu cheguei pra junto dela e falei pra moreninha  oi  vamo ver quem peneira mais farinha se eu perder você me ganha se eu ganhar  você é minha ","mpb"
"267","meu mundo caiu","maysa","mpb","meu mundo caiu e me fez ficar assim você conseguiu e agora diz que tem pena de mim não sei se me explico bem eu nada pedi nem a você nem a ninguém não fui eu que caí sei que você me entendeu sei também que não vai se importar se meu mundo caiu eu que aprenda a levantar","mpb"
"268","chega de saudade","elizeth cardoso","mpb","vai minha tristeza e diz a ele que sem ele não pode ser diz lhe numa prece que ele regresse porque eu não posso mais sofrer  chega de saudade  a realidade é que sem ele não há paz  não há beleza é só tristeza e a melancolia que não sai de mim  não sai de mim  não sai  mas se ele voltar  se ele voltar que coisa linda  que coisa louca  pois há menos peixinhos a nadar no mar do que os beijinhos que eu darei na sua boca  dentro dos meus braços  os abraços  hão de ser milhões de abraços apertado assim  colado assim  calado assim    abraços e beijinhos e carinhos sem ter fim pra acabar com este negócio de jamais viver sem mim  que é pra acabar com esse negócio de querer viver sem mim  vamos deixar desse negócio de viver longe de mim ","mpb"
"269","fita amarela","noel rosa","mpb","quero que o sol não invada o meu caixão para a minha pobre alma não morrer de insolação quando eu morrer  não quero choro nem vela  quero uma fita amarela gravada com o nome dela  se existe alma se há outra encarnação eu queria que a mulata sapateasse no meu caixão não quero flores nem coroa com espinho só quero choro de flauta violão e cavaquinho estou contente  consolado por saber que as morenas tão formosas a terra um dia vai comer  não tenho herdeiros não possuo um só vintém eu vivi devendo a todos mas não paguei a ninguém meus inimigos que hoje falam mal de mim  vão dizer que nunca viram uma pessoa tão boa assim ","mpb"
"272","bronzes e cristais","maysa","mpb","se alguém contar pelos dedos quantas alegrias provou pensará que foram brinquedos que criança má  o tempo quebrou quem seguir a senda florida onde o bem se esquece do mal verá que há contrastes na vida feitos de bronze e cristal bronze  a tristeza que implora um novo dia  um clarão da aurora cristal  sorrisos  luz da certeza tormento e paz são bronzes e cristais","mpb"
"273","baby","gal costa","mpb","você precisa saber da piscina da margarina  da carolina  da gasolina você precisa saber de mim baby  baby  eu sei que é assim baby  baby  eu sei que é assim você precisa tomar um sorvete na lanchonete  andar com a gente  me ver de perto ouvir aquela canção do roberto baby  baby  há quanto tempo baby  baby  há quanto tempo você precisa aprender inglês precisa aprender o que eu sei e o que eu não sei mais e o que eu não sei mais não sei  comigo vai tudo azul contigo vai tudo em paz vivemos na melhor cidade da américa do sul  da américa do sul você precisa  você precisa  você precisa não sei  leia na minha camisa baby  baby  i love you baby  baby  i love you baby  baby  i love you baby  baby  i love you baby  baby  i love you","mpb"
