"linha_original_aproximada","Nome da Música","Artista","Gênero Musical","Letra da Música","genero_filtrado"
"113","deus é por nós","mc marks","funk"," ai  ai  ai  ai  ai   ai  ai  ai  ai  ai   é o marks novamente e o dj muka  eu acho que essa vida não me satisfaz eu juro que eu quero me mudar daqui vou atrás do progresso pra me adiantar só quero ver minha família mais feliz um sorriso no rosto da minha coroa vale mais que barra de ouro e se tudo der certo daqui um tempo  nóis vai tá sorrindo à toa meto marcha vou buscar o que é nosso vou mostrar que favelado também pode dá risada da cara de quem desmerece olha só  o menor hoje de porsche abre a janela pro vento bater o que for ruim deixa o vento levar enquanto eu tiver forças pra viver eu nunca vou deixar de sonhar abre a janela pro vento bater o que for ruim deixa o vento levar enquanto eu tiver forças pra viver eu nunca vou deixar de sonhar como dizia racionais eu sempre fui um sonhador e é isso que me mantém vivo aê menor  vai buscar o que é seu porque o que é seu só você pode alcançar nunca deixe de sonhar é o marks novamente eu nunca vou deixar de sonhar e se deus é por nóis  quem será contra nóis  a favela venceu  deixa os menor voar e se deus é por nóis  quem será contra nóis  a favela venceu  deixa os menor voar e se deus é por nóis  quem será contra nóis  a favela venceu  deixa os menor voar e se deus é por nóis  quem será contra nóis  a favela venceu  deixa os menor voar  ai  ai  ai  ai  ai   ai  ai  ai  ai  ai   é o marks novamente e o dj muka  eu acho que essa vida não me satisfaz eu juro que eu quero me mudar daqui vou atrás do progresso pra me adiantar só quero ver minha família mais feliz um sorriso no rosto da minha coroa vale mais que barra de ouro e se tudo der certo daqui um tempo  nóis vai tá sorrindo à toa meto marcha vou buscar o que é nosso vou mostrar que favelado também pode dá risada da cara de quem desmerece olha só  o menor hoje de porsche abre a janela pro vento bater o que for ruim  deixa o vento levar enquanto eu tiver forças pra viver eu nunca vou deixar de sonhar abre a janela pro vento bater o que for ruim  deixa o vento levar enquanto eu tiver forças pra viver eu nunca vou deixar de sonhar como dizia racionais eu sempre fui um sonhador e é isso que me mantém vivo aê menor  vai buscar o que é seu porque o que é seu só você pode alcançar nunca deixe de sonhar é o marks novamente eu nunca vou deixar de sonhar","funk"
"116","vem me satisfazer","mc ingryd","funk","marca pra nós se ver bota isso aí pra ferver hoje eu quero você vem me satisfazer no teu jeito que eu me amarro de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo de quatro  eu jogo o rabo de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo de quatro  eu jogo o rabo de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo de quatro  eu jogo o rabo de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo de quatro  eu jogo o rabo de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo te avisei  não se envolve no meu papo não passou de um boato pra você enlouquecer eu te dei prazer  tu pediu prazer agora o que eu posso fazer  eu não quero mais você quem falou que eu quero ser tua mulher  toma vergonha na cara e vê se larga do meu pé muito louca na onda do boldin chamei os cria pra base vai rolar chuva de lean de quatro  eu jogo o rabo de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo de quatro  eu jogo o rabo de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo de quatro  eu jogo o rabo de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo de quatro  eu jogo o rabo de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo marca pra nós se ver pode ser pra ferver hoje eu quero você vem me satisfazer no teu jeito que eu me amarro de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo de quatro  eu jogo o rabo de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo de quatro  eu jogo o rabo de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo de quatro  eu jogo o rabo de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo de quatro  eu jogo o rabo de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo te avisei  não se envolve no meu papo não passou de um boato pra você enlouquecer eu te dei prazer  tu pediu prazer agora o que eu posso fazer  eu não quero mais você quem falou que eu quero ser tua mulher  toma vergonha na cara e vê se larga do meu pé muito louca na onda do boldin chamei os cria pra base vai rolar chuva de lean de quatro  eu jogo o rabo de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo de quatro  eu jogo o rabo de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo de quatro  eu jogo o rabo de quatro  eu jogo o rabo sequência de toma toma sequência de vapo vapo","funk"
"117","ô moça","mc zaquin","funk","ai  ai  ai é  é  é  é é  ser bonzinho não tá prestando mais não só meto a cara com as que não tem coração  tem coração  sentimento tá calejado de tanta decepção eu vacilei  eu vacilei  em acreditar nesse maldito falso amor e com belas palavras me encantou  com belas palavras me encantou  agora  aguenta tem várias cedendo o que você negou ô moça  xô colocar bem devagarinho garota  bate a bunda forte no zaquin ô moça  xô colocar bem devagarinho garota  bate a bunda forte no zaquin ô moça  xô colocar bem devagarinho garota  bate a bunda forte no zaquin ô moça  xô colocar bem devagarinho garota  bate a bunda forte no zaquin bate a bunda forte no bate a bunda forte no bate a bunda forte  no zaquin  bate a bunda forte no bate a bunda forte no bate a bunda forte no bate a bunda forte no bate a bunda forte no bate a bunda forte no zaquin toma  toma eu vacilei  eu vacilei  eu vacilei  em acreditar nesse maldito falso amor e com belas palavras me encantou  com belas palavras me encantou  agora  aguenta tem várias cedendo o que você negou ô moça  xô colocar bem devagarinho garota  bate a bunda forte no zaquin ô moça  ô moça   xô colocar bem devagarinho garota  bate a bunda forte no zaquin ô moça  xô colocar bem devagarinho garota  bate a bunda forte no zaquin ô moça  xô colocar bem devagarinho garota  bate a bunda forte no zaquin bate a bunda forte no bate a bunda forte no bate a bunda forte  no zaquin  bate a bunda forte no bate a bunda forte no bate a bunda forte no bate a bunda forte no bate a bunda forte no bate a bunda forte no zaquin ai  ai  ai uh  ô moça bate a bunda forte no zaquin","funk"
"119","na raba toma tapão","niack","funk","é o niack chega  embraza e dá choque no seu sistema hoje eu te levo pra casa só não me arruma problema tu pediu pra eu te botar e eu boto com pressão então vai  já se prepara na raba toma tapão se pre   se pre   se prepara na raba toma tapão se prepara   para   para na raba toma tapão sem negligência  vai que o pai tá boladão marquin  marquin wf que te bota com pressão bota  bota com press bota com press   bota com pressão bota com pressão bota  bota com pressão se prepara   para   para na raba toma tapão vai  toma  toma  toma  toma  toma vai  toma toma  toma  toma então vai  então vai então vai  loira safada oi  bota a jaca pra tremer quero ver tu balançando quando o grave bater toma  toma  toma toma  toma  toma  toma vai  toma  toma  toma toma  toma  toma  toma vai  toma não se acanhe no talento eu sei que vai querer descer com esse beat hitmado que te faz se envolver sem negligência  vai que o pai tá boladão marquin  marquin wf que te bota com pressão","funk"
"121","vai menina","pedro sampaio","funk","vai menina começa a jogar danadinha pra lá e pra cá vai menina não dá pra não dançar movimenta e joga pro ar melodia que te envolve e que vai te fazer sentar senta  senta  senta  senta eita menina pra rebolar ela tá jogando e não quer parar bumbum no chão  bumbum pro ar pedro sampaio no beat ela vem","funk"
"123","desce pro play (pa pa pa)","zaac","funk"," mc zaac  pa  pa  pa  pa  pa  pa  pa  pa  pa  pa pa  pa  pa  pa  pa  pa  pa pa  pa  pa  pa  pa  pa  pa pa  pa  pa  pa  pa  pa  pa  gravou  pa  pa  hey  cheguei pra gente brincar então desce pro play  você vai gostar no way  vamo apimentar quero ver descer até o pai cansar você quer pula pula  só vai ter uma regra se apegar  não dura  o zaac não se apega vou te deixar maluca  já tô na mente dela se você tá no pique  o zaac vai te pega  ahn  mc zaac   anitta  sim  vem cá jogar pra mim vem cá jogar pra mim  bem gostosin sim  vem cá jogar pra mim vem cá jogar pra mim sobe  desce  para  depois joga na minha cara e faz  mc zaac  pa  pa  pa  pa  pa  pa  pa pa  pa  pa  pa  pa  pa  pa pa  pa  pa  pa  pa  pa  pa sobe  desce  para  depois joga na minha cara e faz pa  pa  pa  pa  pa  pa  ahn  pa  pa  pa  pa  pa  pa  tá bom  pa  pa  pa  pa  pa  pa  ahn  ahn  pa  pa  pa  pa  pa  pa  hey  hey   anitta   mc zaac  gostei  então vou ficar já apimentei  vou deixar queimar dancei  quer me ver brincar e se eu descer  cê vai aguentar você quer pula pula  eu quero pega pega se apegar  não dura  anitta não se apega vou te deixar maluca  já tô na mente dela vê se não para  não para que se parar  já era  anitta  quer entrar na brincadeira  ahn vai perder a noite inteira  ahn qual a próxima rodada  vem que eu tô preparada quer entrar na brincadeira  ahn vai perder a noite inteira  ahn qual a próxima rodada  sobe  desce  para  depois joga na minha cara e faz  mc zaac  anitta   tyga  pa  pa  pa  pa  pa  pa  pa pa  pa  pa  pa  pa  pa  pa pa  pa  pa  pa  pa  pa  pa sobe  desce  para  depois joga na minha cara e faz pa  pa  pa  pa  pa  pa  ahn  pa  pa  pa  pa  pa  pa  tá bom  pa  pa  pa  pa  pa  pa  yeah  yeah  yeah  sobe  desce  para  depois joga na minha cara e faz  tyga  i m a beast  beast   choppin  on the beat  hah  hoes in my sheets  i ain t gettin  no sleep  no  sheesh  on me  hah   i m who you wanna be  yah  bounce on to me  i get girls by the fleet  shit  wooh  baby touch those toes  grind slow  strip pole bring it up though  though   drop low fo  sure booty round  no  no   i m a dog  call the pound dog pound hoe  hoe   i just wanna see you go  mc zaac  anitta   tyga  pa  eh  pa  ah  pa  pa  pa  hah  pa  pa pa  pa  pa  go   pa  pa  pa  pa pa  pa  pa  pa  pa  pa  pa sobe  desce  para  depois joga na minha cara e faz pa  pa  pa  pa  pa  pa  ahn  pa  pa  pa  pa  pa  pa  tá bom  pa  pa  pa  pa  pa  pa sobe  desce  para  depois joga na minha cara e faz","funk"
"125","te prometo","dennis","funk","ela falou que quer namorar  não dá pra esse tipo de relação eu não sou o cara certo mas se quiser ficar por ficar eu te prometo que meu corpo eu te empresto eu te prometo que meu p   eu te empresto vamos combinar assim  só ligar pra mim fala quando quer  que eu digo que também te quero se ta dando certo não mexe pra dar errado é só tu me chamar de quadro chacoalhando o rabo eu falei dennis  não falei tênis  não confunda","funk"
"126","hit contagiante","felipe original","funk","ahn  fala tu que eu tô cansado felipe original  tá ligado  se liga aí  malvada  no que agora eu vou mandar um som diferenciado que vai te fazer dançar js no comando vai mandar pra todas elas ritmo contagiante vai entrar na mente delas ritmo contagiante vai entrar na mente delas manda pras safadinhas evoluiu ritmo agressivo      fluiu levando levadas que você nunca ouviu evoluiu vai brisar na vibe do kevin o chris no tamborzão que te faz mexer te faz mexer  te faz mexer seja no lins ou no ppg pode começar a des des des des descer no tamborzão que te faz mex mex mex mex mexer pode começar a des des des des descer no tamborzão que te faz mex mex mex mex mexer eu dou aquela sarradinha se liga aí  malvada  no que agora eu vou mandar um som diferenciado que vai te fazer dançar manda pras safadinhas se liga aí  malvada  no que agora eu vou mandar um som diferenciado que vai te fazer dançar js no comando vai mandar pra todas elas ritmo contagiante vai entrar na mente delas ritmo contagiante vai entrar na mente delas manda pras safadinhas evoluiu ritmo agressivo      fluiu levando levadas que você nunca ouviu evoluiu vai brisar na vibe do kevin o chris no tamborzão que te faz mexer te faz mexer  te faz mexer seja no lins ou no ppg pode começar a des des des des descer no tamborzão que te faz mex mex mex mex mexer pode começar a des des des des descer no tamborzão que te faz mex mex mex mex mexer eu dou aquela sarradinha se liga aí  malvada  no que agora eu vou mandar um som diferenciado que vai te fazer dançar manda pras safadinhas","funk"
"128","oh juliana","niack","funk","mas esse é o léo da    sucesso com a mulherada eu sei que eu não sou teu dono mas tu tá na minha mão te conheço como a tal da ruivinha do rabetão dançando rave ou mandela sei qual é tua intenção faz carinha de safada batendo o popô no chão oh  juliana o que tu quer de mim  já falei que eu passo o rodo e não caio em qualquer papim oh  juliana o que tu quer de mim  já falei que eu passo o rodo e não caio em qualquer papim então desliza  desliza vem jogando esse bundão prepara  pode pá vai ser só colocadão então desliza  desliza vem jogando esse bundão prepara  pode pá vai ser só colocadão então desliza  desliza vem jogando esse bundão prepara  pode pá vai ser só colocadão então desliza  desliza vem jogando esse bundão prepara  pode pá vai ser só colocadão vai ser só colocadão mas esse é o léo da    sucesso com a mulherada eu sei que eu não sou teu dono mas tu tá na minha mão te conheço como a tal da ruivinha do rabetão dançando rave ou mandela sei qual é tua intenção faz carinha de safada batendo o popô no chão oh  juliana o que tu quer de mim  já falei que eu passo o rodo e não caio em qualquer papim oh  juliana o que tu quer de mim  já falei que eu passo o rodo e não caio em qualquer papim então desliza  desliza vem jogando esse bundão prepara  pode pá vai ser só colocadão então desliza  desliza vem jogando esse bundão prepara  pode pá vai ser só colocadão então desliza  desliza vem jogando esse bundão prepara  pode pá vai ser só colocadão então desliza  desliza vem jogando esse bundão prepara  pode pá vai ser só colocadão vai ser só colocadão","funk"
"130","toma","luísa sonza","funk","a boa menina ficou braba  hein  haha essa é a hora de você aprender aula de sentada em cima de você tô no apetite  solta o beat pra mim comecei agora  eu vou até o fim primeiro prende o cabelo  flexiona o joelho vem no agachamento  desce  desce  ahn primeiro prende o cabelo  flexiona o joelho vem no agachamento  desce  desce  ahn agacha e toma  toma  toma  toma  agacha e toma  toma  agacha e toma  toma  toma  toma  agacha e toma  então toma  agacha e toma  toma  toma  toma  agacha e toma  toma  agacha e toma  toma  toma  toma  agacha e toma  vem gosto de te ver sentar não esquece de aquecer só não vai se machucar quando começa a descer essa mina desce e quica faz a movimentação do jeitinho que ela empina mexe com meu coração primeiro prende o cabelo  flexiona o joelho vem no agachamento  desce  desce  ahn primeiro prende o cabelo  flexiona o joelho vem no agachamento  desce  desce  ahn  aahhhhhh   toma  agacha e toma  toma  toma  toma  agacha e toma  toma  agacha e toma  toma  toma  toma  agacha e toma  então toma  agacha e toma  toma  toma  toma  agacha e toma  toma  agacha e toma  toma  toma  toma  agacha e toma  vem toma agacha e toma  toma  toma  toma  agacha e toma  toma  agacha e toma  toma  toma  toma  agacha e toma  então toma  agacha e toma  toma  toma  toma  agacha e toma  toma  agacha e toma  toma  toma  toma  agacha e toma  vem primeiro prende o cabelo  flexiona o joelho vem no agachamento  desce  desce  ahn primeiro prende o cabelo  flexiona o joelho vem no agachamento  desce  desce  ahn","funk"
